AID,SLID,ELID
1,531,534
2,535,538
3,539,542
4,543,546
5,547,550
6,551,554
7,555,558
8,559,562
9,563,566
10,567,570
11,571,574
12,575,578
13,579,582
14,583,586
15,587,590
16,591,594
17,595,598
18,599,602
19,603,606
20,607,610
21,611,614
22,615,618
23,619,622
24,623,626
25,627,630
26,631,634
27,635,638
28,639,652
29,653,666
30,667,680
31,681,694
32,695,708
33,709,722
34,723,736
35,737,751
36,752,766
37,767,781
38,782,790
39,791,799
40,800,808
41,809,817
42,818,826
43,827,828
44,829,830
45,831,832
46,833,834
47,835,836
48,837,838
49,839,840
50,841,842
51,843,865
