DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0
3,2,3,0,0,0,0,0,0,0
4,3,4,0,0,0,0,0,0,0
5,4,5,0,0,0,0,0,0,0
6,5,6,0,0,0,0,0,0,0
7,6,7,0,0,0,0,0,0,0
8,7,8,0,0,0,0,0,0,0
9,8,9,0,0,0,0,0,0,0
10,9,10,0,0,0,0,0,0,0
11,10,11,0,0,0,0,0,0,0
12,11,12,0,0,0,0,0,0,0
13,12,13,0,0,0,0,0,0,0
14,13,14,0,0,0,0,0,0,0
15,14,15,0,0,0,0,0,0,0
16,15,16,0,0,0,0,0,0,0
17,16,17,0,0,0,0,0,0,0
18,17,18,0,0,0,0,0,0,0
19,18,19,0,0,0,0,0,0,0
20,19,20,0,0,0,0,0,0,0
21,0,22,0,0,0,0,0,0,0
22,1,23,0,0,0,0,0,0,0
23,2,24,0,0,0,0,0,0,0
24,3,25,0,0,0,0,0,0,0
25,4,26,0,0,0,0,0,0,0
26,5,27,0,0,0,0,0,0,0
27,6,28,0,0,0,0,0,0,0
28,7.01,29,0,0,0,0,0,0,0
29,8,30,0,0,0,0,0,0,0
30,9,31,0,0,0,0,0,0,0
31,10.01,32,0,0,0,0,0,0,0
32,11,33,0,0,0,0,0,0,0
33,12,34,0,0,0,0,0,0,0
34,13,35,0,0,0,0,0,0,0
35,14,36,0,0,0,0,0,0,0
36,15,37,0,0,0,0,0,0,0
37,16.01,38,0,0,0,0,0,0,0
38,17.01,39,0,0,0,0,0,0,0
39,18,40,0,0,0,0,0,0,0
40,19,41,0,0,0,0,0,0,0
41,0,43,0,0,0,0,0,0,0
42,1,44,0,0,0,0,0,0,0
43,2,45,0,0,0,0,0,0,0
44,3.01,46,0,0,0,0,0,0,0
45,4,47,0,0,0,0,0,0,0
46,5,48,0,0,0,0,0,0,0
47,6,49,0,0,0,0,0,0,0
48,6.99,50,0,0,0,0,0,0,0
49,8,51,0,0,0,0,0,0,0
50,9,52,0,0,0,0,0,0,0
51,10.01,53,0,0,0,0,0,0,0
52,11.01,54,0,0,0,0,0,0,0
53,12,55,0,0,0,0,0,0,0
54,13,56,0,0,0,0,0,0,0
55,14,57,0,0,0,0,0,0,0
56,14.55,58,0,0,0,0,0,0,0
57,15.55,59,0,0,0,0,0,0,0
58,16.55,60,0,0,0,0,0,0,0
59,17.55,61,0,0,0,0,0,0,0
60,18.55,62,0,0,0,0,0,0,0
61,19.55,63,0,0,0,0,0,0,0
62,20.55,64,0,0,0,0,0,0,0
63,21.55,65,0,0,0,0,0,0,0
64,22.55,66,0,0,0,0,0,0,0
