PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0.56,73.61,-94.48,0,0,0,0
2,0,0,0.56,73.61,-93.48,0,0,0,0
3,0,0,0.55,73.6,-92.48,0,0,0,0
4,0,0,0.55,73.6,-91.48,0,0,0,0
5,0,0,0.55,73.6,-90.48,0,0,0,0
6,0,0,0.54,73.6,-89.48,0,0,0,0
7,0,0,0.54,73.6,-88.48,0,0,0,0
8,0,0,0.54,73.59,-87.48,0,0,0,0
9,0,0,0.53,73.59,-86.48,0,0,0,0
10,0,0,0.53,73.59,-85.48,0,0,0,0
11,0,0,0.53,73.59,-84.48,0,0,0,0
12,0,0,0.52,73.58,-83.48,0,0,0,0
13,0,0,0.52,73.58,-82.48,0,0,0,0
14,0,0,0.52,73.58,-81.48,0,0,0,0
15,0,0,0.52,73.58,-80.48,0,0,0,0
16,0,0,0.51,73.58,-79.48,0,0,0,0
17,0,0,0.51,73.57,-78.48,0,0,0,0
18,0,0,0.51,73.57,-77.48,0,0,0,0
19,0,0,0.5,73.57,-76.48,0,0,0,0
20,0,0,0.5,73.57,-75.48,0,0,0,0
21,0,0,0.5,73.57,-75.35,0,0,0,0
22,0,0,0.4,78.26,-74.63,0,0,0,0
23,0,0,0.41,78.14,-75.62,0,0,0,0
24,0,0,0.42,78.03,-76.62,0,0,0,0
25,0,0,0.43,77.92,-77.61,0,0,0,0
26,0,0,0.44,77.82,-78.61,0,0,0,0
27,0,0,0.45,77.73,-79.6,0,0,0,0
28,0,0,0.46,77.64,-80.6,0,0,0,0
29,0,0,0.47,77.55,-81.6,0,0,0,0
30,0,0,0.47,77.47,-82.59,0,0,0,0
31,0,0,0.48,77.4,-83.59,0,0,0,0
32,0,0,0.49,77.33,-84.59,0,0,0,0
33,0,0,0.5,77.26,-85.58,0,0,0,0
34,0,0,0.51,77.2,-86.58,0,0,0,0
35,0,0,0.52,77.14,-87.58,0,0,0,0
36,0,0,0.53,77.08,-88.58,0,0,0,0
37,0,0,0.54,77.03,-89.58,0,0,0,0
38,0,0,0.55,76.98,-90.58,0,0,0,0
39,0,0,0.56,76.93,-91.58,0,0,0,0
40,0,0,0.57,76.88,-92.57,0,0,0,0
41,0,0,0.58,76.84,-93.57,0,0,0,0
42,0,0,0.59,76.8,-94.47,0,0,0,0
43,0,0,0.5,73.57,-75.35,0,0,0,0
44,0,0,0.5,73.53,-74.35,0,0,0,0
45,0,0,0.51,73.42,-73.36,0,0,0,0
46,0,0,0.51,73.23,-72.37,0,0,0,0
47,0,0,0.51,72.99,-71.4,0,0,0,0
48,0,0,0.52,72.68,-70.45,0,0,0,0
49,0,0,0.52,72.32,-69.52,0,0,0,0
50,0,0,0.52,71.9,-68.62,0,0,0,0
51,0,0,0.53,71.42,-67.74,0,0,0,0
52,0,0,0.53,70.89,-66.89,0,0,0,0
53,0,0,0.54,70.29,-66.08,0,0,0,0
54,0,0,0.54,69.64,-65.32,0,0,0,0
