ID,LID,Width,Color,type,LinkID
1,15,0.2,W,0,0
2,16,0.2,W,0,0
3,17,0.2,W,0,0
4,18,0.2,W,0,0
5,19,0.2,W,0,0
6,20,0.2,W,0,0
7,21,0.2,W,0,0
8,22,0.2,W,0,0
9,23,0.2,W,0,0
10,24,0.2,W,0,0
11,25,0.2,W,0,0
12,26,0.2,W,0,0
13,27,0.2,W,0,0
14,28,0.2,W,0,0
15,29,0.2,W,0,0
16,30,0.2,W,0,0
17,31,0.2,W,0,0
18,32,0.2,W,0,0
19,33,0.2,W,0,0
20,34,0.2,W,0,0
21,35,0.2,W,0,0
22,36,0.2,W,0,0
23,37,0.2,W,0,0
24,38,0.2,W,0,0
25,39,0.2,W,0,0
26,40,0.2,W,0,0
27,41,0.2,W,0,0
28,42,0.2,W,0,0
29,43,0.2,W,0,0
30,44,0.2,W,0,0
31,45,0.2,W,0,0
32,46,0.2,W,0,0
33,47,0.2,W,0,0
34,48,0.2,W,0,0
35,49,0.2,W,0,0
36,50,0.2,W,0,0
37,51,0.2,W,0,0
38,52,0.2,W,0,0
39,53,0.2,W,0,0
40,54,0.2,W,0,0
41,55,0.2,W,0,0
42,56,0.2,W,0,0
43,57,0.2,W,0,0
44,58,0.2,W,0,0
45,59,0.2,W,0,0
46,60,0.2,W,0,0
47,61,0.2,W,0,0
48,62,0.2,W,0,0
49,63,0.2,W,0,0
50,64,0.2,W,0,0
51,65,0.2,W,0,0
52,66,0.2,W,0,0
53,67,0.2,W,0,0
54,68,0.2,W,0,0
55,69,0.2,W,0,0
56,70,0.2,W,0,0
57,71,0.2,W,0,0
58,72,0.2,W,0,0
59,73,0.2,W,0,0
60,74,0.2,W,0,0
61,75,0.2,W,0,0
62,76,0.2,W,0,0
63,77,0.2,W,0,0
64,78,0.2,W,0,0
65,79,0.2,W,0,0
66,80,0.2,W,0,0
67,81,0.2,W,0,0
68,82,0.2,W,0,0
69,83,0.2,W,0,0
70,84,0.2,W,0,0
71,85,0.2,W,0,0
72,86,0.2,W,0,0
73,87,0.2,W,0,0
74,88,0.2,W,0,0
75,89,0.2,W,0,0
76,90,0.2,W,0,0
77,91,0.2,W,0,0
78,92,0.2,W,0,0
79,93,0.2,W,0,0
80,94,0.2,W,0,0
81,95,0.2,W,0,0
82,96,0.2,W,0,0
83,97,0.2,W,0,0
84,98,0.2,W,0,0
85,99,0.2,W,0,0
86,100,0.2,W,0,0
87,101,0.2,W,0,0
88,102,0.2,W,0,0
89,103,0.2,W,0,0
