ID,LID,Width,Color,type,LinkID
1,12,0.2,W,0,0
2,13,0.2,W,0,0
3,14,0.2,W,0,0
4,15,0.2,W,0,0
5,16,0.2,W,0,0
6,17,0.2,W,0,0
7,18,0.2,W,0,0
8,19,0.2,W,0,0
9,20,0.2,W,0,0
10,21,0.2,W,0,0
11,22,0.2,W,0,0
12,23,0.2,W,0,0
13,24,0.2,W,0,0
14,25,0.2,W,0,0
15,26,0.2,W,0,0
16,27,0.2,W,0,0
17,28,0.2,W,0,0
18,29,0.2,W,0,0
19,30,0.2,W,0,0
20,31,0.2,W,0,0
21,32,0.2,W,0,0
22,33,0.2,W,0,0
23,34,0.2,W,0,0
24,35,0.2,W,0,0
25,36,0.2,W,0,0
26,37,0.2,W,0,0
27,38,0.2,W,0,0
28,39,0.2,W,0,0
29,40,0.2,W,0,0
30,41,0.2,W,0,0
31,42,0.2,W,0,0
32,43,0.2,W,0,0
33,44,0.2,W,0,0
34,45,0.2,W,0,0
35,46,0.2,W,0,0
36,47,0.2,W,0,0
37,48,0.2,W,0,0
38,49,0.2,W,0,0
39,50,0.2,W,0,0
40,51,0.2,W,0,0
41,52,0.2,W,0,0
42,53,0.2,W,0,0
43,54,0.2,W,0,0
44,55,0.2,W,0,0
45,56,0.2,W,0,0
46,57,0.2,W,0,0
47,58,0.2,W,0,0
48,59,0.2,W,0,0
49,60,0.2,W,0,0
50,61,0.2,W,0,0
51,62,0.2,W,0,0
52,63,0.2,W,0,0
53,64,0.2,W,0,0
54,65,0.2,W,0,0
55,66,0.2,W,0,0
56,67,0.2,W,0,0
57,68,0.2,W,0,0
58,69,0.2,W,0,0
59,70,0.2,W,0,0
60,71,0.2,W,0,0
61,72,0.2,W,0,0
62,73,0.2,W,0,0
63,74,0.2,W,0,0
64,75,0.2,W,0,0
65,76,0.2,W,0,0
66,77,0.2,W,0,0
67,78,0.2,W,0,0
68,79,0.2,W,0,0
69,80,0.2,W,0,0
70,81,0.2,W,0,0
71,82,0.2,W,0,0
72,83,0.2,W,0,0
73,84,0.2,W,0,0
74,85,0.2,W,0,0
75,86,0.2,W,0,0
76,87,0.2,W,0,0
77,88,0.2,W,0,0
78,89,0.2,W,0,0
79,90,0.2,W,0,0
80,91,0.2,W,0,0
81,92,0.2,W,0,0
82,93,0.2,W,0,0
83,94,0.2,W,0,0
84,95,0.2,W,0,0
85,96,0.2,W,0,0
86,97,0.2,W,0,0
87,98,0.2,W,0,0
88,99,0.2,W,0,0
89,100,0.2,W,0,0
