DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1.06,2,0,0,0,0,0,0,0
3,1.23,3,0,0,0,0,0,0,0
4,1.4,4,0,0,0,0,0,0,0
5,1.58,5,0,0,0,0,0,0,0
6,1.75,6,0,0,0,0,0,0,0
7,1.93,7,0,0,0,0,0,0,0
8,2.1,8,0,0,0,0,0,0,0
9,2.27,9,0,0,0,0,0,0,0
10,2.43,10,0,0,0,0,0,0,0
11,2.44,11,0,0,0,0,0,0,0
12,3.42,12,0,0,0,0,0,0,0
13,3.59,13,0,0,0,0,0,0,0
14,3.75,14,0,0,0,0,0,0,0
15,3.91,15,0,0,0,0,0,0,0
16,4.09,16,0,0,0,0,0,0,0
17,4.26,17,0,0,0,0,0,0,0
18,4.43,18,0,0,0,0,0,0,0
19,4.6,19,0,0,0,0,0,0,0
20,4.76,20,0,0,0,0,0,0,0
21,4.92,21,0,0,0,0,0,0,0
22,4.92,22,0,0,0,0,0,0,0
23,5.89,23,0,0,0,0,0,0,0
24,6.87,24,0,0,0,0,0,0,0
25,7.84,25,0,0,0,0,0,0,0
26,8.82,26,0,0,0,0,0,0,0
27,9.79,27,0,0,0,0,0,0,0
28,10.77,28,0,0,0,0,0,0,0
29,11.75,29,0,0,0,0,0,0,0
30,12.72,30,0,0,0,0,0,0,0
31,13.7,31,0,0,0,0,0,0,0
32,14.67,32,0,0,0,0,0,0,0
33,15.65,33,0,0,0,0,0,0,0
34,16.63,34,0,0,0,0,0,0,0
35,17.6,35,0,0,0,0,0,0,0
36,18.58,36,0,0,0,0,0,0,0
37,19.55,37,0,0,0,0,0,0,0
38,20.53,38,0,0,0,0,0,0,0
39,21,39,0,0,0,0,0,0,0
40,21.1,40,0,0,0,0,0,0,0
41,21.21,41,0,0,0,0,0,0,0
42,21.32,42,0,0,0,0,0,0,0
43,21.44,43,0,0,0,0,0,0,0
44,21.55,44,0,0,0,0,0,0,0
45,21.66,45,0,0,0,0,0,0,0
46,21.76,46,0,0,0,0,0,0,0
47,21.86,47,0,0,0,0,0,0,0
48,21.86,48,0,0,0,0,0,0,0
49,22.47,49,0,0,0,0,0,0,0
50,23.1,50,0,0,0,0,0,0,0
51,23.73,51,0,0,0,0,0,0,0
52,24.36,52,0,0,0,0,0,0,0
53,25,53,0,0,0,0,0,0,0
54,25.63,54,0,0,0,0,0,0,0
55,26.26,55,0,0,0,0,0,0,0
56,26.88,56,0,0,0,0,0,0,0
57,27.5,57,0,0,0,0,0,0,0
58,28.11,58,0,0,0,0,0,0,0
59,28.21,59,0,0,0,0,0,0,0
60,28.33,60,0,0,0,0,0,0,0
61,28.45,61,0,0,0,0,0,0,0
62,28.58,62,0,0,0,0,0,0,0
63,28.71,63,0,0,0,0,0,0,0
64,28.85,64,0,0,0,0,0,0,0
65,28.97,65,0,0,0,0,0,0,0
66,29.08,66,0,0,0,0,0,0,0
67,29.19,67,0,0,0,0,0,0,0
68,29.55,68,0,0,0,0,0,0,0
69,30.47,69,0,0,0,0,0,0,0
70,31.4,70,0,0,0,0,0,0,0
71,32.33,71,0,0,0,0,0,0,0
72,33.26,72,0,0,0,0,0,0,0
73,34.19,73,0,0,0,0,0,0,0
74,35.12,74,0,0,0,0,0,0,0
75,36.05,75,0,0,0,0,0,0,0
76,36.48,76,0,0,0,0,0,0,0
77,36.59,77,0,0,0,0,0,0,0
78,36.72,78,0,0,0,0,0,0,0
79,36.86,79,0,0,0,0,0,0,0
80,37,80,0,0,0,0,0,0,0
81,37.14,81,0,0,0,0,0,0,0
82,37.27,82,0,0,0,0,0,0,0
83,37.38,83,0,0,0,0,0,0,0
84,37.48,84,0,0,0,0,0,0,0
85,37.48,85,0,0,0,0,0,0,0
86,38.04,86,0,0,0,0,0,0,0
87,38.61,87,0,0,0,0,0,0,0
88,39.17,88,0,0,0,0,0,0,0
89,39.72,89,0,0,0,0,0,0,0
90,40.27,90,0,0,0,0,0,0,0
91,40.82,91,0,0,0,0,0,0,0
92,41.36,92,0,0,0,0,0,0,0
93,41.91,93,0,0,0,0,0,0,0
94,42.46,94,0,0,0,0,0,0,0
95,43.01,95,0,0,0,0,0,0,0
96,43.56,96,0,0,0,0,0,0,0
97,44.11,97,0,0,0,0,0,0,0
98,44.65,98,0,0,0,0,0,0,0
99,45.19,99,0,0,0,0,0,0,0
100,45.74,100,0,0,0,0,0,0,0
101,45.83,101,0,0,0,0,0,0,0
102,45.93,102,0,0,0,0,0,0,0
103,46.04,103,0,0,0,0,0,0,0
104,46.15,104,0,0,0,0,0,0,0
105,46.26,105,0,0,0,0,0,0,0
106,46.37,106,0,0,0,0,0,0,0
107,46.47,107,0,0,0,0,0,0,0
108,46.57,108,0,0,0,0,0,0,0
109,46.66,109,0,0,0,0,0,0,0
110,47.08,110,0,0,0,0,0,0,0
111,48.03,111,0,0,0,0,0,0,0
112,48.99,112,0,0,0,0,0,0,0
113,49.94,113,0,0,0,0,0,0,0
114,50.9,114,0,0,0,0,0,0,0
115,51.85,115,0,0,0,0,0,0,0
116,52.8,116,0,0,0,0,0,0,0
117,53.76,117,0,0,0,0,0,0,0
118,54.71,118,0,0,0,0,0,0,0
119,55.67,119,0,0,0,0,0,0,0
120,56.62,120,0,0,0,0,0,0,0
121,57.58,121,0,0,0,0,0,0,0
122,58.53,122,0,0,0,0,0,0,0
123,59.49,123,0,0,0,0,0,0,0
124,60.44,124,0,0,0,0,0,0,0
125,61.4,125,0,0,0,0,0,0,0
126,62.35,126,0,0,0,0,0,0,0
127,63.3,127,0,0,0,0,0,0,0
128,63.46,128,0,0,0,0,0,0,0
129,63.62,129,0,0,0,0,0,0,0
130,63.79,130,0,0,0,0,0,0,0
131,63.96,131,0,0,0,0,0,0,0
132,64.14,132,0,0,0,0,0,0,0
133,64.31,133,0,0,0,0,0,0,0
134,64.48,134,0,0,0,0,0,0,0
135,64.64,135,0,0,0,0,0,0,0
136,64.8,136,0,0,0,0,0,0,0
137,64.82,137,0,0,0,0,0,0,0
138,65.81,138,0,0,0,0,0,0,0
139,66.79,139,0,0,0,0,0,0,0
140,67.77,140,0,0,0,0,0,0,0
141,68.75,141,0,0,0,0,0,0,0
142,69.73,142,0,0,0,0,0,0,0
143,70.71,143,0,0,0,0,0,0,0
144,71.69,144,0,0,0,0,0,0,0
145,72.67,145,0,0,0,0,0,0,0
146,73.65,146,0,0,0,0,0,0,0
147,74.63,147,0,0,0,0,0,0,0
148,75.61,148,0,0,0,0,0,0,0
149,76.6,149,0,0,0,0,0,0,0
150,77.58,150,0,0,0,0,0,0,0
151,78.56,151,0,0,0,0,0,0,0
152,79.54,152,0,0,0,0,0,0,0
153,80.5,153,0,0,0,0,0,0,0
154,80.5,154,0,0,0,0,0,0,0
155,80.5,155,0,0,0,0,0,0,0
156,80.5,156,0,0,0,0,0,0,0
157,80.5,157,0,0,0,0,0,0,0
158,80.5,158,0,0,0,0,0,0,0
159,80.5,159,0,0,0,0,0,0,0
160,80.5,160,0,0,0,0,0,0,0
161,80.5,161,0,0,0,0,0,0,0
162,80.52,162,0,0,0,0,0,0,0
163,80.52,163,0,0,0,0,0,0,0
164,80.52,164,0,0,0,0,0,0,0
165,80.52,165,0,0,0,0,0,0,0
166,80.52,166,0,0,0,0,0,0,0
167,80.52,167,0,0,0,0,0,0,0
168,80.52,168,0,0,0,0,0,0,0
169,80.52,169,0,0,0,0,0,0,0
170,80.52,170,0,0,0,0,0,0,0
171,80.8,171,0,0,0,0,0,0,0
172,81.05,172,0,0,0,0,0,0,0
173,81.29,173,0,0,0,0,0,0,0
174,81.52,174,0,0,0,0,0,0,0
175,81.75,175,0,0,0,0,0,0,0
176,81.98,176,0,0,0,0,0,0,0
177,82.22,177,0,0,0,0,0,0,0
178,82.47,178,0,0,0,0,0,0,0
179,82.75,179,0,0,0,0,0,0,0
180,82.75,180,0,0,0,0,0,0,0
181,82.75,181,0,0,0,0,0,0,0
182,82.75,182,0,0,0,0,0,0,0
183,82.75,183,0,0,0,0,0,0,0
184,82.75,184,0,0,0,0,0,0,0
185,82.75,185,0,0,0,0,0,0,0
186,82.75,186,0,0,0,0,0,0,0
187,82.75,187,0,0,0,0,0,0,0
188,82.77,188,0,0,0,0,0,0,0
189,82.77,189,0,0,0,0,0,0,0
190,82.77,190,0,0,0,0,0,0,0
191,82.77,191,0,0,0,0,0,0,0
192,82.77,192,0,0,0,0,0,0,0
193,82.77,193,0,0,0,0,0,0,0
194,82.77,194,0,0,0,0,0,0,0
195,82.77,195,0,0,0,0,0,0,0
196,82.77,196,0,0,0,0,0,0,0
197,83.73,197,0,0,0,0,0,0,0
198,83.89,198,0,0,0,0,0,0,0
199,84.06,199,0,0,0,0,0,0,0
200,84.22,200,0,0,0,0,0,0,0
201,84.4,201,0,0,0,0,0,0,0
202,84.57,202,0,0,0,0,0,0,0
203,84.74,203,0,0,0,0,0,0,0
204,84.91,204,0,0,0,0,0,0,0
205,85.07,205,0,0,0,0,0,0,0
206,85.23,206,0,0,0,0,0,0,0
207,85.23,207,0,0,0,0,0,0,0
208,86.2,208,0,0,0,0,0,0,0
209,87.18,209,0,0,0,0,0,0,0
210,88.16,210,0,0,0,0,0,0,0
211,89.13,211,0,0,0,0,0,0,0
212,90.11,212,0,0,0,0,0,0,0
213,91.09,213,0,0,0,0,0,0,0
214,92.06,214,0,0,0,0,0,0,0
215,93.04,215,0,0,0,0,0,0,0
216,94.02,216,0,0,0,0,0,0,0
217,94.99,217,0,0,0,0,0,0,0
218,95.97,218,0,0,0,0,0,0,0
219,96.94,219,0,0,0,0,0,0,0
220,97.92,220,0,0,0,0,0,0,0
221,98.9,221,0,0,0,0,0,0,0
222,99.51,222,0,0,0,0,0,0,0
223,99.59,223,0,0,0,0,0,0,0
224,99.67,224,0,0,0,0,0,0,0
225,99.75,225,0,0,0,0,0,0,0
226,99.83,226,0,0,0,0,0,0,0
227,99.91,227,0,0,0,0,0,0,0
228,99.98,228,0,0,0,0,0,0,0
229,100.06,229,0,0,0,0,0,0,0
230,100.13,230,0,0,0,0,0,0,0
231,100.13,231,0,0,0,0,0,0,0
232,100.89,232,0,0,0,0,0,0,0
233,101.66,233,0,0,0,0,0,0,0
234,102.42,234,0,0,0,0,0,0,0
235,103.18,235,0,0,0,0,0,0,0
236,103.95,236,0,0,0,0,0,0,0
237,104.71,237,0,0,0,0,0,0,0
238,105.45,238,0,0,0,0,0,0,0
239,106.2,239,0,0,0,0,0,0,0
240,106.33,240,0,0,0,0,0,0,0
241,106.47,241,0,0,0,0,0,0,0
242,106.62,242,0,0,0,0,0,0,0
243,106.77,243,0,0,0,0,0,0,0
244,106.92,244,0,0,0,0,0,0,0
245,107.08,245,0,0,0,0,0,0,0
246,107.23,246,0,0,0,0,0,0,0
247,107.37,247,0,0,0,0,0,0,0
248,107.5,248,0,0,0,0,0,0,0
249,107.59,249,0,0,0,0,0,0,0
250,108.46,250,0,0,0,0,0,0,0
251,109.34,251,0,0,0,0,0,0,0
252,110.22,252,0,0,0,0,0,0,0
253,111.1,253,0,0,0,0,0,0,0
254,111.98,254,0,0,0,0,0,0,0
255,112.86,255,0,0,0,0,0,0,0
256,113.57,256,0,0,0,0,0,0,0
257,113.61,257,0,0,0,0,0,0,0
258,113.65,258,0,0,0,0,0,0,0
259,113.7,259,0,0,0,0,0,0,0
260,113.74,260,0,0,0,0,0,0,0
261,113.78,261,0,0,0,0,0,0,0
262,113.82,262,0,0,0,0,0,0,0
263,113.86,263,0,0,0,0,0,0,0
264,113.89,264,0,0,0,0,0,0,0
265,113.89,265,0,0,0,0,0,0,0
266,114.52,266,0,0,0,0,0,0,0
267,115.15,267,0,0,0,0,0,0,0
268,115.77,268,0,0,0,0,0,0,0
269,116.38,269,0,0,0,0,0,0,0
270,116.97,270,0,0,0,0,0,0,0
271,117.57,271,0,0,0,0,0,0,0
272,118.16,272,0,0,0,0,0,0,0
273,118.75,273,0,0,0,0,0,0,0
274,119.36,274,0,0,0,0,0,0,0
275,119.96,275,0,0,0,0,0,0,0
276,120.55,276,0,0,0,0,0,0,0
277,121.15,277,0,0,0,0,0,0,0
278,121.74,278,0,0,0,0,0,0,0
279,122.32,279,0,0,0,0,0,0,0
280,122.39,280,0,0,0,0,0,0,0
281,122.46,281,0,0,0,0,0,0,0
282,122.53,282,0,0,0,0,0,0,0
283,122.6,283,0,0,0,0,0,0,0
284,122.68,284,0,0,0,0,0,0,0
285,122.75,285,0,0,0,0,0,0,0
286,122.82,286,0,0,0,0,0,0,0
287,122.89,287,0,0,0,0,0,0,0
288,122.96,288,0,0,0,0,0,0,0
289,123.5,289,0,0,0,0,0,0,0
290,124.45,290,0,0,0,0,0,0,0
291,125.41,291,0,0,0,0,0,0,0
292,126.36,292,0,0,0,0,0,0,0
293,127.31,293,0,0,0,0,0,0,0
294,128.26,294,0,0,0,0,0,0,0
295,129.22,295,0,0,0,0,0,0,0
296,130.17,296,0,0,0,0,0,0,0
297,131.12,297,0,0,0,0,0,0,0
298,132.07,298,0,0,0,0,0,0,0
299,133.03,299,0,0,0,0,0,0,0
300,133.98,300,0,0,0,0,0,0,0
301,134.93,301,0,0,0,0,0,0,0
302,135.88,302,0,0,0,0,0,0,0
303,136.83,303,0,0,0,0,0,0,0
304,137.79,304,0,0,0,0,0,0,0
305,137.94,305,0,0,0,0,0,0,0
306,138.1,306,0,0,0,0,0,0,0
307,138.27,307,0,0,0,0,0,0,0
308,138.45,308,0,0,0,0,0,0,0
309,138.62,309,0,0,0,0,0,0,0
310,138.79,310,0,0,0,0,0,0,0
311,138.96,311,0,0,0,0,0,0,0
312,139.12,312,0,0,0,0,0,0,0
313,139.28,313,0,0,0,0,0,0,0
314,139.3,314,0,0,0,0,0,0,0
315,140.28,315,0,0,0,0,0,0,0
316,141.26,316,0,0,0,0,0,0,0
317,142.24,317,0,0,0,0,0,0,0
