PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-0.77,0.25,-14.35,0,0,0,0
2,0,0,-0.78,-0.63,-13.75,0,0,0,0
3,0,0,-0.78,-0.79,-13.71,0,0,0,0
4,0,0,-0.78,-0.96,-13.71,0,0,0,0
5,0,0,-0.78,-1.14,-13.73,0,0,0,0
6,0,0,-0.78,-1.31,-13.77,0,0,0,0
7,0,0,-0.78,-1.47,-13.83,0,0,0,0
8,0,0,-0.78,-1.62,-13.92,0,0,0,0
9,0,0,-0.78,-1.75,-14.02,0,0,0,0
10,0,0,-0.78,-1.85,-14.15,0,0,0,0
11,0,0,-0.78,-1.86,-14.16,0,0,0,0
12,0,0,-0.78,-2.39,-14.98,0,0,0,0
13,0,0,-0.78,-2.5,-15.11,0,0,0,0
14,0,0,-0.78,-2.62,-15.21,0,0,0,0
15,0,0,-0.78,-2.77,-15.29,0,0,0,0
16,0,0,-0.78,-2.93,-15.35,0,0,0,0
17,0,0,-0.78,-3.1,-15.38,0,0,0,0
18,0,0,-0.78,-3.27,-15.39,0,0,0,0
19,0,0,-0.78,-3.44,-15.37,0,0,0,0
20,0,0,-0.78,-3.59,-15.32,0,0,0,0
21,0,0,-0.78,-3.73,-15.25,0,0,0,0
22,0,0,-0.78,-3.73,-15.25,0,0,0,0
23,0,0,-0.78,-4.53,-14.7,0,0,0,0
24,0,0,-0.78,-5.34,-14.14,0,0,0,0
25,0,0,-0.78,-6.14,-13.59,0,0,0,0
26,0,0,-0.78,-6.95,-13.03,0,0,0,0
27,0,0,-0.78,-7.75,-12.48,0,0,0,0
28,0,0,-0.78,-8.55,-11.93,0,0,0,0
29,0,0,-0.78,-9.36,-11.37,0,0,0,0
30,0,0,-0.78,-10.16,-10.82,0,0,0,0
31,0,0,-0.78,-10.96,-10.26,0,0,0,0
32,0,0,-0.78,-11.77,-9.71,0,0,0,0
33,0,0,-0.78,-12.57,-9.16,0,0,0,0
34,0,0,-0.78,-13.37,-8.6,0,0,0,0
35,0,0,-0.78,-14.18,-8.05,0,0,0,0
36,0,0,-0.78,-14.98,-7.49,0,0,0,0
37,0,0,-0.78,-15.78,-6.94,0,0,0,0
38,0,0,-0.78,-16.59,-6.39,0,0,0,0
39,0,0,-0.78,-16.97,-6.11,0,0,0,0
40,0,0,-0.78,-17.03,-6.03,0,0,0,0
41,0,0,-0.78,-17.08,-5.93,0,0,0,0
42,0,0,-0.78,-17.12,-5.83,0,0,0,0
43,0,0,-0.78,-17.15,-5.72,0,0,0,0
44,0,0,-0.78,-17.16,-5.61,0,0,0,0
45,0,0,-0.78,-17.15,-5.5,0,0,0,0
46,0,0,-0.78,-17.13,-5.4,0,0,0,0
47,0,0,-0.78,-17.09,-5.3,0,0,0,0
48,0,0,-0.78,-17.09,-5.3,0,0,0,0
49,0,0,-0.78,-16.79,-4.78,0,0,0,0
50,0,0,-0.78,-16.64,-4.16,0,0,0,0
51,0,0,-0.78,-16.48,-3.55,0,0,0,0
52,0,0,-0.78,-16.49,-2.92,0,0,0,0
53,0,0,-0.78,-16.49,-2.29,0,0,0,0
54,0,0,-0.78,-16.66,-1.68,0,0,0,0
55,0,0,-0.78,-16.83,-1.07,0,0,0,0
56,0,0,-0.78,-17.15,-0.54,0,0,0,0
57,0,0,-0.78,-17.47,0,0,0,0,0
58,0,0,-0.78,-17.88,0.44,0,0,0,0
59,0,0,-0.78,-17.95,0.52,0,0,0,0
60,0,0,-0.78,-18,0.62,0,0,0,0
61,0,0,-0.78,-18.05,0.73,0,0,0,0
62,0,0,-0.78,-18.09,0.86,0,0,0,0
63,0,0,-0.78,-18.12,0.99,0,0,0,0
64,0,0,-0.78,-18.13,1.12,0,0,0,0
65,0,0,-0.78,-18.14,1.24,0,0,0,0
66,0,0,-0.78,-18.13,1.36,0,0,0,0
67,0,0,-0.78,-18.11,1.46,0,0,0,0
68,0,0,-0.78,-17.99,1.8,0,0,0,0
69,0,0,-0.78,-17.47,2.56,0,0,0,0
70,0,0,-0.78,-16.94,3.33,0,0,0,0
71,0,0,-0.78,-16.42,4.1,0,0,0,0
72,0,0,-0.78,-15.89,4.86,0,0,0,0
73,0,0,-0.78,-15.37,5.63,0,0,0,0
74,0,0,-0.78,-14.84,6.4,0,0,0,0
75,0,0,-0.78,-14.32,7.16,0,0,0,0
